invoice_id,account_id,date_issued
1,1,2021-01-03
2,1,2020-03-19
3,1,2021-01-14
4,1,2020-05-20
5,1,2020-05-29
6,1,2020-04-07
7,1,2020-10-02
8,1,2020-12-11
9,1,2020-07-22
10,1,2020-11-03
11,1,2020-08-13
12,1,2021-03-11
13,1,2020-10-24
14,1,2020-05-18
15,1,2020-12-14
16,1,2020-04-19
17,1,2020-12-04
18,1,2020-04-28
19,1,2020-08-10
20,1,2020-06-02
21,1,2021-02-17
22,1,2020-11-18
23,1,2021-02-02
24,1,2020-08-24
25,1,2020-08-23
26,1,2020-06-20
27,1,2020-04-17
28,1,2020-06-22
29,1,2020-06-29
30,1,2021-01-13
31,1,2021-03-04
32,1,2020-07-19
33,1,2020-04-30
34,1,2020-04-30
35,1,2020-08-19
36,1,2021-01-26
37,1,2020-12-14
38,1,2020-09-10
39,1,2020-08-13
40,1,2020-08-21
41,1,2020-04-09
42,1,2020-12-10
43,1,2020-06-01
44,1,2020-04-25
45,1,2020-05-26
46,1,2020-07-10
47,1,2020-11-17
48,1,2020-08-05
49,1,2021-01-03
50,1,2020-06-24
51,2,2020-06-11
52,2,2020-11-04
53,2,2020-10-25
54,2,2020-06-30
55,2,2020-06-12
56,2,2020-06-17
57,2,2020-06-29
58,2,2020-06-22
59,2,2020-10-21
60,2,2021-01-30
61,2,2020-07-10
62,2,2021-01-11
63,2,2020-09-02
64,2,2020-07-14
65,2,2020-05-16
66,2,2020-07-13
67,2,2021-01-10
68,2,2021-01-27
69,2,2020-05-31
70,2,2020-11-04
71,2,2020-04-03
72,3,2021-01-07
73,3,2020-07-18
74,3,2020-10-15
75,3,2020-07-28
76,3,2021-03-18
77,3,2021-03-14
78,3,2020-11-04
79,3,2021-01-09
80,3,2020-06-10
81,3,2020-09-15
82,3,2020-10-28
83,3,2020-10-07
84,3,2020-07-31
85,3,2020-12-31
86,3,2020-05-29
87,3,2020-10-04
88,3,2020-06-23
89,4,2020-12-18
90,4,2020-05-16
91,4,2020-04-17
92,4,2020-07-10
93,4,2020-07-12
94,4,2020-10-07
95,4,2020-05-14
96,4,2020-08-23
97,4,2020-12-16
98,4,2020-11-06
99,4,2021-03-15
100,4,2021-01-08
101,4,2020-11-05
102,4,2021-03-08
103,4,2020-11-25
104,4,2020-07-16
105,4,2020-05-04
106,4,2020-09-29
107,4,2020-04-13
108,4,2020-05-10
109,4,2020-04-18
110,4,2021-02-08
111,4,2020-12-19
112,4,2021-03-11
113,4,2020-07-02
114,4,2020-10-06
115,4,2021-01-01
116,4,2020-03-28
117,4,2020-09-11
118,4,2020-10-22
119,4,2020-08-20
120,4,2020-10-08
121,4,2020-07-21
122,4,2020-06-15
123,4,2021-01-05
124,4,2020-10-30
125,4,2020-07-19
126,4,2020-11-21
127,4,2020-05-15
128,4,2020-05-02
129,4,2021-01-18
130,4,2020-10-19
131,4,2020-10-29
132,4,2020-03-25
133,4,2020-07-13
134,4,2020-07-01
135,4,2020-04-09
136,4,2020-07-17
137,4,2020-10-12
138,4,2020-10-01
139,4,2020-06-08
140,4,2020-09-23
141,4,2020-06-14
142,4,2021-03-10
143,4,2021-02-10
144,4,2020-09-02
145,4,2020-09-22
146,4,2020-06-14
147,4,2020-08-25
148,4,2020-12-30
149,4,2020-10-30
150,4,2021-03-04
151,4,2021-03-05
152,4,2020-04-15
153,4,2020-06-01
154,4,2020-09-12
155,4,2020-12-25
156,4,2020-07-31
157,4,2020-08-16
158,4,2020-03-27
159,4,2020-08-30
160,4,2020-03-24
161,4,2020-07-05
162,4,2021-01-31
163,4,2020-11-22
164,5,2020-07-09
165,5,2020-11-07
166,5,2020-06-12
167,5,2020-12-26
168,5,2020-03-24
169,5,2020-10-16
170,5,2020-11-22
171,5,2020-10-30
172,5,2020-07-14
173,5,2020-03-20
174,5,2020-05-25
175,5,2020-07-18
176,5,2020-07-05
177,5,2020-05-21
178,5,2020-05-13
179,5,2020-08-31
180,5,2020-11-17
181,5,2020-10-27
182,5,2020-11-26
183,5,2020-05-23
184,5,2021-01-01
185,5,2020-04-19
186,5,2020-08-19
187,5,2020-05-19
188,5,2020-07-05
189,5,2020-05-23
190,5,2021-02-08
191,5,2020-06-06
192,5,2020-07-10
193,5,2020-06-19
194,5,2020-10-03
195,5,2021-01-21
196,5,2020-08-21
197,5,2020-11-24
198,5,2020-10-16
199,5,2020-09-18
200,5,2020-09-13
201,5,2021-01-12
202,5,2020-03-28
203,5,2020-07-08
204,5,2020-05-08
205,5,2020-09-05
206,5,2020-05-27
207,5,2020-07-27
208,5,2020-07-15
209,5,2020-10-30
210,5,2020-07-04
211,5,2020-08-07
212,5,2020-12-06
213,5,2020-11-21
214,5,2020-07-08
215,5,2020-12-24
216,5,2020-05-13
217,5,2021-03-17
218,5,2020-09-29
219,5,2020-08-31
220,5,2020-12-21
221,5,2020-10-04
222,5,2021-03-17
223,5,2020-07-31
224,5,2020-12-15
225,5,2020-12-20
226,5,2020-09-10
227,5,2020-04-21
228,5,2020-03-25
